ans_id,question_id,content
1,1,石棉县治疗癫痫的医院可以到石棉县人民医院，石棉县中医院挂号就诊，如果石棉县当地医院没有设备或是资质进行治疗的，可以到最近的三甲医院，正规癫痫专科医院，医学院校的附属医院等大医院就诊。癫痫是由于脑细胞群异常的超同步放电而引起突然的、发作性的短暂性脑功能紊乱。反复发作的患者80%通过3～5年的正规用药可以保持病情常年稳定，几乎等于根治。经过治疗40%～50%患者可以治愈，有些器质性脑病的癫痫患者可能需要终身服药。
2,2,你好，很高兴可以帮到你。，根据你的病情分析，您在日常的生活中要注意预防上呼吸道感染，不要吃辛辣的食物和对耳朵有副作用的药物，可以服用通窍耳聋丸本品有以下作用：用于肝胆火盛引起的耳聋、耳鸣、耳底疼痛、目赤口苦、头晕目眩、大便于燥。
3,3,您好！很高兴为您解答：现在治疗癫痫的方法有很多种，如脑神经细胞异常放电阻断术，药物治疗，手术治疗，伽玛刀治疗，迷走神经刺激术或小脑刺激术，病因治疗或者是其他治疗。如果一般的抗癫痫药物效果不理想，或者是难治性癫痫，都可采用目前国际上比较先进的脑神经细胞异常放电阻断术。祝您弟弟早日康复！
4,4,你好，根据你的描述来说，癫痫为神经系统的疾病。可出现肢体抽搐，口吐白沫。建议挂神经内科，查脑电图，明确诊断。服用丙戊酸钠片治疗。饮食以低脂食物为主，多吃蔬菜。
5,5,因为癫痫病发的时候是突发性的，而且周边人对于癫痫病人的不理解等原因，导致癫痫患者经常被社会所歧视，在就业、婚姻、家庭生活等方面均遇到困难，患者精神压抑，身心健康受到很大影响。
6,6,建议多注意休息，避免劳累受凉，保持良好的心情，做头颅mri，可给予抗癫痫药物及营养脑细胞药物
7,7,精神异常也是很常见的现象，一般来说的话孩子突然肌肉放松，不能维持正确的坐位姿势，轻微的话患者只是会出现一些轻微的行为异常，一旦严重的话是会出现智力障碍，患者出现的全身僵硬，四肢无节律的颤动，发作突然出现可表现为突然跌倒，也会伴有面色的异常现象。
8,8,癫痫病是一种慢性的脑部疾病，引起癫痫病的原因有遗传因素，病毒因素，还有受到外界的严重刺激，建议定期去正规的医院做详细的检查，根据医生的诊断结果，及时的采取相应的治疗措施，不要耽误了病情，如果孩子有什么异常情况，也要是及时就医的，希望能对你有所帮助。
9,9,大部分的癫痫病患者在发病时先从脑部肌肉急剧收缩，继而向身体其他部位扩散，简而言之就是从小至大，从局部至全身的发作趋势。患者脑部神经受损程度越大，肌肉收缩的频率与力度越大，对于身体内部器官的损伤程度也越大。有些患者属于局部癫痫病症，他们易出现局部抽搐，意识出现幻觉等，严重者可出现精神错乱，甚至自残行为。
10,10,孩子在婴儿时期本来就是非常的爱睡觉的，但是如果我们的孩子在醒来的时候。目光呆滞并且还不会回应我们的话，那么我们的家长就要注意孩子的变化，如果我们的孩子真的是没有自己的表情，那么我们一定要及时的送往医院进行诊断，尽量排除是癫痫病的可能。孩子的检查一定要在正规医院进行，不要去小诊所造成误诊耽误治疗。
11,11,您好，根据你的描述情况，癫痫是神经系统异常导致的疾病。。。因此癫痫属于神经内科疾病，并不是精神疾病，需要到医院神经内科就诊咨询。。。
12,12,治疗癫痫病建议到专业的癫痫病医院或找具有专业特长的癫痫病医生进行治疗。癫痫患者服用西药多数患者需要终身服药，只能控制病情而不能根治，长期还产生副作用和抗药性。目前患者年轻，大脑神经元细胞修复能力强，考虑可以采用定位修复疗法进行修复受损神经元细胞，恢复脑神经元细胞功能，平衡异常放电，从而达到彻底杜绝癫痫发作。
13,13,你好，您所说的“后天性癫痫”是指继发于各种已知疾病如脑外伤等之后而发生的癫痫吧，如果是这样的话，是不会遗传的。
14,14,原发性癫痫指在临床上找不到病因的癫痫病，有一定遗传性。继发性癫痫指由其他疾病导致的癫痫发作，也就是说，继发于其他疾病，癫痫仅是其病的一个症状，故又称为“症状性癫痫”。原发性癫痫的治疗要根据你的实际情况来确定治疗方案，实事求是、因人而异。可以试试中医治疗，中医辩证理论治疗：通过望、闻、问、切的方法进行辩证，然後确定用药方向。辩证论治有豁痰熄风、醒脑开窍、扶正祛邪、育阴潜阳、活血化瘀、针灸疗法、新电针疗法等。患者每天要保持一个良好的心态，保证充足的睡眠，禁止熬夜，禁止玩电子游戏。还有就是患者切勿擅自停药、换药，这样很容易引起癫痫的发作的。
15,15,你好癫痫病患者平时就多吃一些水果多吃一些清淡的食物就好了。生活中正确的护理可以对患者的病情起到一定的缓解作用，但是护理只能帮助缓解病情，对病情的控制起不到任何帮助。建议到专科医院接受科学合理的治疗，这样才能对病人的病情有真正的帮助
16,16,癫痫的治疗可分为控制发作、病因治疗、外科治疗、一般卫生及预防五个方面。其中最重要的是控制发作，目前以药物治疗为主。有些器质性脑病的癫痫患者可能需要终身服药。
17,17,首先要想治疗一个病，必须要了解其原因。癫痫是因为大脑神经元细胞异常过度放电而引起的，癫痫症有很多原因，可能是先天发育不全或者是后天的各种原因，癫痫分很多种类型，但不管哪种类型，其治疗方法都是一样的，最常用的治疗就是药物治疗。
18,18,你好，癫痫治疗建议临床上可根据癫痫发作类型选用抗癫痫药物，一旦找到可以完全控制发作的药物和剂量，就应不间断地应用。祝你早日康复！
19,19,癫痫病和精神病的发病原理就不一样，癫痫病的发病原理是由于大脑内的神经元异常放电，导致大脑对身体失去控制。而精神病呢，一般的解释是因为患者对社会的认知出现混乱，失去了判断力导致的外在表现不正常，这两者是有区别的。然后呢，这两者的治疗方法也有区别，治疗癫痫病的药物与治疗精神病所用的药物是不同的。
20,20,你好，很高兴帮助你，原发性癫痫的治疗办法就是用药物控制长期的矿，要靠药物来维持，不然的话还会复发。治疗的目的就是尽量减少复发可能性，现在比较成熟的办法就是药物控制，手术开展的不是很多，很多地方不成熟。
21,21,癫痫是一种常见的疾病，引起癫痫的原因有很多，当患者出现癫痫病症的时候，一定要及时进行治疗，药物治疗是癫痫治疗的一种主要的方法之一，癫痫药物治疗要从小剂量开始，用药治疗要了解药物的副作用问题，另外在治疗时要了解癫痫治疗原则。
22,22,个人不建议吃一些药物，时间久了会产生依赖作用。艾司唑仑片：具有较强的镇静、催眠、抗惊厥、抗焦虑和较弱的中枢性骨骼肌松驰作用。镇静催眠作用比硝西泮强2。5～4倍，其抗焦虑作用具有广谱性，可帮助消除紧张、烦躁性症状。主要用于失眠、焦虑、紧张、恐惧、术前镇静、癫痫小发作等。不良反应较多，建议不要服用。建议放松心情，睡觉前热水泡脚等。
23,23,癫痫病的药物治疗，建议在抗癫痫药物治疗过程中，并不推荐常规监测抗癫痫药物的血药浓度，这类药物都会有一定的影响。如果怀疑患者并没有按医嘱服药或出现药物毒性反应、或者是合并使用影响药物代谢的其他药物以及存在特殊的临床情等情况时，一定考虑进行血药浓度监测。
24,24,癫痫病还是不影响语言发育的，药物和治疗方法有很多种，但需要个人的体质与病情不同而选择，要经专科医生确认有效的诊断之后选择最安全有效且价廉的药物才会取得治疗的最好效果。
25,25,您好，首先，患者要调整好心态，因为癫痫频繁发作势必会造成心理抑郁，情绪低落等，癫痫病患者对待癫痫病应该承认并且就是正视它的存在，认识到它的危害，积极配合医生治疗。对待这种癫痫病没有必要过分担忧，要有战胜癫痫病的的信心和决心，保持积极的心态，才能更好的治疗癫痫。
26,26,尊敬的朋友，你好，根据你的病情描述，你这样的情况，如果反复发作，抽搐。抽搐的时候，孩子这个脑子是缺氧的。血管致敬。慢慢的就会导致影响大脑。如果发作的时候能够及时的控制。对，脑子的影响就很小。希望能帮助到你，祝你早日康复。
